,3 & D Wing,Combo Guard,Defensive Forward,Offensive Big Man,Pace & Space Forward,Post-Heavy Big Man,Primary Distributing Ballhandler,Slashing Guard,Team,3PAr,FTr,Pace,principal component 1,principal component 2,Cluster,Year,W,Playoffs
0,1,1,2,2,0,2,1,0,Atlanta Hawks/2016,0.336,0.237,97.1,0.7806879214928399,-0.17120214950097185,5,2016,48.0,1
1,0,0,2,1,1,1,3,1,Atlanta Hawks/2017,0.309,0.295,97.4,-0.131095266403831,-1.3542901496908408,2,2017,43.0,1
2,0,2,3,0,1,2,1,0,Atlanta Hawks/2018,0.363,0.236,98.3,0.12728505590157396,-0.052563624964596316,5,2018,24.0,0
3,1,1,1,2,2,0,2,0,Boston Celtics/2016,0.293,0.264,98.5,0.14761951957846686,1.481072228251617,3,2016,48.0,1
4,2,0,2,1,1,0,3,0,Boston Celtics/2017,0.393,0.273,96.8,-0.6478411676891128,1.317815872901264,3,2017,53.0,1
5,2,0,1,2,2,0,2,0,Boston Celtics/2018,0.35700000000000004,0.243,96.0,-0.5363236065665367,1.9339557296431857,3,2018,55.0,1
6,0,1,1,1,0,3,2,1,Brooklyn Nets/2016,0.218,0.246,95.2,0.3510651425656827,-2.522465911003293,2,2016,21.0,0
10,0,0,1,1,2,1,4,0,Brooklyn Nets/2017,0.371,0.289,101.3,1.242274470521733,0.794770582264465,1,2017,20.0,0
14,1,2,0,2,1,2,1,0,Brooklyn Nets/2018,0.411,0.26,98.9,2.716069995115227,0.9812071904371057,1,2018,28.0,0
18,0,0,0,0,0,0,0,0,Charlotte Hornets/2016,0.348,0.28,95.7,0.44324781488293025,-0.10562918181761712,5,2016,48.0,1
22,0,0,0,0,0,0,0,0,Charlotte Hornets/2017,0.335,0.279,95.7,0.3548801104555363,-0.13692569512071823,5,2017,36.0,0
26,0,0,0,0,0,0,0,0,Charlotte Hornets/2018,0.314,0.312,98.4,0.9534037701123106,-0.050358735141199776,5,2018,36.0,0
30,4,1,2,1,1,0,0,0,Chicago Bulls/2016,0.244,0.24,95.7,-2.1853532001978118,2.3392456365744696,0,2016,42.0,0
31,0,2,0,1,3,1,2,0,Chicago Bulls/2017,0.256,0.259,95.3,0.29023385405387864,0.6734810602594687,3,2017,41.0,1
32,2,0,1,0,0,2,4,0,Chicago Bulls/2018,0.35,0.21600000000000005,98.3,-0.2217841868076371,0.7235323238549713,3,2018,27.0,0
33,0,2,1,2,2,1,1,0,Cleveland Cavaliers/2016,0.35200000000000004,0.259,93.3,0.7637414055930665,0.10598435517760643,5,2016,57.0,1
34,0,1,0,4,1,1,1,1,Cleveland Cavaliers/2017,0.399,0.275,96.2,2.5366459626028375,-0.6762774174650279,1,2017,51.0,1
35,0,1,2,3,0,1,1,1,Cleveland Cavaliers/2018,0.379,0.275,98.0,1.4841477223092352,-1.1903102478306122,1,2018,50.0,1
36,0,2,1,1,1,1,2,1,Dallas Mavericks/2016,0.339,0.265,94.3,0.2887850689752451,-1.101236352483794,2,2016,42.0,1
37,0,0,3,2,0,1,2,1,Dallas Mavericks/2017,0.366,0.225,92.2,-1.0851558073793648,-1.9831613485336352,2,2017,33.0,0
38,0,1,1,0,2,1,3,1,Dallas Mavericks/2018,0.382,0.217,95.6,-0.6753331803301059,-0.10991714433001029,5,2018,24.0,0
39,1,1,2,2,0,0,2,0,Denver Nuggets/2016,0.277,0.282,95.7,-0.24621427688627934,-0.13462736666533104,5,2016,33.0,0
40,1,1,3,1,0,0,3,0,Denver Nuggets/2017,0.329,0.276,98.3,-0.5905236781531521,0.2650671438816431,5,2017,40.0,0
41,2,0,3,1,0,0,3,0,Denver Nuggets/2018,0.35700000000000004,0.258,96.8,-1.3217086550841908,0.7350148709420825,0,2018,46.0,0
42,0,2,1,4,0,2,0,0,Detroit Pistons/2016,0.303,0.29600000000000004,95.1,2.8056054083900146,-1.3195372363136295,1,2016,44.0,1
43,0,2,2,3,0,1,1,0,Detroit Pistons/2017,0.263,0.218,95.0,0.3028258349924859,-0.6467290635081897,5,2017,37.0,0
44,0,0,1,3,1,1,1,2,Detroit Pistons/2018,0.333,0.227,96.2,0.20306532994796325,-1.5469318926167652,2,2018,39.0,0
